index,Song-Name,Singer/Artists,Genre,Movie,User-Rating
1,Aankh Marey,"Kumar Sanu, Mika Singh, Neha Kakkar",BollywoodDance,Simmba,8.8/10
2,Coca Cola,"Neha Kakkar, Tony Kakkar",BollywoodDanceRomantic,Luka Chuppi,9.0/10
3,Apna Time Aayega,Ranveer Singh,BollywoodDance,Gully Boy,9.7/10
4,Mungda,"Jyotica Tangri, Shaan, Subhro Ganguly",BollywoodDance,Total Dhamaal,9.1/10
5,Tere Bin,"Asees Kaur, Rahat Fateh Ali Khan, Tanishk Bagchi",BollywoodRomantic,Simmba,9.2/10
6,Gali Gali,Neha Kakkar,BollywoodDance,KGF,9.1/10
7,Chamma Chamma,"Arun, Ikka, Neha Kakkar, Romy",BollywoodDance,Fraud Saiyaan,9.2/10
8,Mere Gully Mein,Ranveer Singh,BollywoodDance,Gully Boy,9.5/10
9,Kamariya,Darshan Raval,BollywoodDance,Mitron,9.2/10
10,Ek Ladki Ko Dekha Toh Aisa Laga,"Darshan Raval, Rochak Kohli",BollywoodRomantic,Ek Ladki Ko Dekha Toh Aisa Laga,9.6/10
11,Swag Se Swagat,"Neha Bhasin, Vishal Dadlani",BollywoodDance,Tiger Zinda Hai,8.8/10
12,Poster Lagwa Do,"Mika Singh, Sunanda Sharma",BollywoodDance,Luka Chuppi,8.4/10
13,Daaru Wargi,Guru Randhawa,BollywoodDance,Cheat India,9.1/10
14,Dilbar,"Dhvani Bhanushali, Ikka, Neha Kakkar",BollywoodDance,Satyameva Jayate,9.2/10
15,Proper Patola,"Aastha Gill, Badshah, Diljit Dosanjh",BollywoodDance,Namaste England,9.0/10
16,Doori,Ranveer Singh,BollywoodDance,Gully Boy,9.7/10
17,Dil Diyan Gallan,Atif Aslam,BollywoodRomantic,Tiger Zinda Hai,9.1/10
18,Husn Parcham,"Bhoomi Trivedi, Raja Kumari",BollywoodDance,Zero,9.0/10
19,Bom Diggy Diggy,"Jasmin Walia, Zack Knight",BollywoodDance,Sonu Ke Titu Ki Sweety,9.0/10
20,Issaqbaazi,"Divya Kumar, Sukhwinder Singh",BollywoodDance,Zero,9.1/10
21,Mere Naam Tu,Abhay Jodhpurkar,BollywoodRomantic,Zero,9.2/10
22,High Rated Gabru � Nawabzaade,Guru Randhawa,BollywoodDance,Nawabzaade,9.2/10
23,Dekhte Dekhte,Atif Aslam,BollywoodRomantic,Batti Gul Meter Chalu,9.5/10
24,Zingaat,"Ajay, Atul",BollywoodDance,Dhadak,8.6/10
25,Tareefan,Badshah,Bollywood,Veere Di Wedding,9.1/10
26,Mile Ho Tum (Reprise),"Neha Kakkar, Tony Kakkar",BollywoodRomantic,Fever,9.0/10
27,Dil Chori,"Ishers, Simar Kaur, Yo Yo Honey Singh",BollywoodDance,Sonu Ke Titu Ki Sweety,9.0/10
28,Tere Naal Nachna,"Badshah, Sunanda Sharma",BollywoodDance,Nawabzaade,9.2/10
29,Dil Meri Na Sune,Atif Aslam,BollywoodRomantic,Genius,9.5/10
30,Dhadak Title Track,"Ajay Gogavale, Shreya Ghoshal",BollywoodRomantic,Dhadak,9.4/10
31,Heeriye,"Deep Money, Meet Bros, Neha Bhasin",BollywoodDanceRomantic,Race 3,8.7/10
32,Chogada,"Asees Kaur, Darshan Raval",BollywoodDance,Loveratri,9.3/10
33,Gud Naal Ishq Mitha,"Harshdeep Kaur, Navraj Hans",BollywoodDance,Ek Ladki Ko Dekha Toh Aisa Laga,9.3/10
34,Paniyon Sa,"Atif Aslam, Tulsi Kumar",BollywoodRomantic,Satyameva Jayate,9.5/10
35,Milegi Milegi,Mika Singh,BollywoodDance,Stree,9.1/10
36,Morni Banke,"Guru Randhawa, Neha Kakkar",BollywoodDance,Badhaai Ho,9.0/10
37,Bhare Bazaar,"B Praak, Badshah, Payal Dev, Vishal Dadlani",BollywoodDance,Namaste England,9.0/10
38,Khalibali,Shivam Pathak,BollywoodDance,Padmaavat,9.1/10
39,Aao Kabhi Haveli Pe,"Badshah, Jigar, Nikhita Gandhi, Sachin Sanghvi",BollywoodDance,Stree,8.4/10
40,Badri Ki Dulhania,"Dev Negi, Ikka, Monali Thakur, Neha Kakkar",BollywoodDance,Badrinath Ki Dulhania,8.4/10
41,Cheez Badi,"Neha Kakkar, Udit Narayan",BollywoodDance,Machine,8.8/10
42,Dholida,"Neha Kakkar, Palak Muchchal, Raja Hassan, Udit Narayan",BollywoodDance,Loveratri,9.2/10
43,Sweetheart,Dev Negi,BollywoodDance,Kedarnath,9.2/10
44,Namo Namo,Amit Trivedi,BollywoodDevotional,Kedarnath,9.6/10
45,Qaafirana,"Arijit Singh, Nikhita Gandhi",BollywoodRomantic,Kedarnath,9.6/10
46,Tu Hi Re,"Armaan Malik, Shashaa Tirupati",BollywoodDance,2,9.0/10
47,Chhote Chhote Peg,"Navraj Hans, Neha Kakkar, Yo Yo Honey Singh",BollywoodDance,Sonu Ke Titu Ki Sweety,9.1/10
48,Galti Se Mistake,"Amit Mishra, Arijit Singh",BollywoodDance,Jagga Jasoos,8.5/10
49,Phir Mulaaqat,Jubin Nautiyal,BollywoodRomantic,Cheat India,9.5/10
50,Kala Chashma,"Amar Arshi, Badshah, Neha Kakkar",BollywoodDance,Baar Baar Dekho,8.5/10
51,Mantoiyat,Raftaar,Bollywood,Manto,9.7/10
52,Nashe Si Chadh Gayi,Arijit Singh,BollywoodDance,Befikre,8.9/10
53,Mera Pyar Tera Pyar,Arijit Singh,BollywoodRomanticSad,Jalebi,9.6/10
54,Ding Dang,"Amit Mishra, Antara Mitra",BollywoodDance,Munna Michael,8.5/10
55,Main Tera Boyfriend,"Arijit Singh, Meet Bros, Neha Kakkar",BollywoodDance,Raabta,9.1/10
56,Laila Main Laila,Pawni Pandey,BollywoodDance,Raees,8.7/10
57,Ghoomar,"Shreya Ghoshal, Swaroop Khan",BollywoodDance,Padmaavat,8.6/10
58,Rafta Rafta Medley,"Akash Ojha, Disha Sharma, Jordi Patel, Rekha, Sonakshi Sinha, Vishal Mishra",BollywoodDance,Yamla Pagla Deewana Phir Se,9.3/10
59,Pal,"Arijit Singh, Shreya Ghoshal",BollywoodRomantic,Jalebi,9.7/10
60,Patola,Guru Randhawa,BollywoodDance,Black Mail,8.9/10
61,Pallo Latke,"Fazilpuria, Jyotica Tangri, Yasser Desai",BollywoodDance,Shaadi Mein Zaroor Aana,9.0/10
62,Main Badhiya Tu Bhi Badhiya,"Sonu Nigam, Sunidhi Chauhan",Bollywood,Sanju,9.0/10
63,Billionaire,"Simar Kaur, Singhsta, Yo Yo Honey Singh",BollywoodDance,Baazaar,9.3/10
64,This Party Is Over Now,Yo Yo Honey Singh,BollywoodDance,Mitron,9.3/10
65,Heer Badnaam,Romy,BollywoodDanceSad,Zero,9.1/10
66,Tera Hua,Atif Aslam,BollywoodRomantic,Loveratri,9.0/10
67,Jaan Nisaar,Arijit Singh,BollywoodRomantic,Kedarnath,9.7/10
68,Akh Lad Jaaye,"Asees Kaur, Badshah, Jubin Nautiyal",BollywoodDanceRomantic,Loveratri,9.2/10
69,Rangtaari,"Dev Negi, Yo Yo Honey Singh",BollywoodDance,Loveratri,9.1/10
70,The Humma Song,"Badshah, Jubin Nautiyal, Shashaa Tirupati",BollywoodDance,Ok Jaanu,9.0/10
71,Pehli Baar,Ajay Gogavale,BollywoodRomantic,Dhadak,8.9/10
72,Tera Yaar Hoon Main,Arijit Singh,BollywoodRomanticSad,Sonu Ke Titu Ki Sweety,9.5/10
73,Dilbaro,"Harshdeep Kaur, Shankar Mahadevan, Vibha Saraf",Bollywood,Raazi,9.5/10
74,Chhod Diya,Arijit Singh,BollywoodSad,Baazaar,9.7/10
75,Maine Tujhko Dekha,"Neeraj Shridhar, Sukriti Kakar",BollywoodDance,Golmaal Again,9.0/10
76,Allah Duhai Hai,"Amit Mishra, Jonita Gandhi, Sreerama Chandra",BollywoodDance,Race 3,8.1/10
77,Cham Cham,Monali Thakur,BollywoodDance,Baaghi,8.1/10
78,Kar Har Maidaan Fateh,"Shreya Ghoshal, Sukhwinder Singh",BollywoodMotivational,Sanju,9.5/10
79,Kamariya,"Aastha Gill, Divya Kumar, Jigar Saraiya, Sachin Sanghvi",BollywoodDance,Stree,9.1/10
80,Tamma Tamma Again,"Anuradha Paudwal, Badshah, Bappi Lahiri",BollywoodDance,Badrinath Ki Dulhania,8.6/10
81,Tera Fitoor,Arijit Singh,BollywoodRomantic,Genius,9.4/10
82,Mere Rashke Qamar,"Nusrat Fateh Ali Khan, Rahat Fateh Ali Khan",BollywoodRomantic,Baadshaho,9.0/10
83,The Breakup Song,"Arijit Singh, Badshah, Jonita Gandhi, Nakash Aziz",BollywoodDance,Ae Dil Hai Mushkil,9.0/10
84,Naino Ne Bandhi,Yasser Desai,BollywoodRomantic,Gold,9.6/10
